ogerpon,marnie,games,ogerpon_wins,marnie_wins,draws,ogerpon_wr,csv,log
hist_shadow_5899,marnie_w4_b8f,60,55,5,0,0.9166666666666666,logs/repro_alakazam_ogerpon_20260816/rr_hist_ogerpon_vs_hist_marnie_20260817/hist_shadow_5899_vs_hist_marnie_g60.csv,logs/repro_alakazam_ogerpon_20260816/rr_hist_ogerpon_vs_hist_marnie_20260817/hist_shadow_5899_vs_hist_marnie_g60.log
hist_shadow_5899,marnie_v14_b8f,60,59,1,0,0.9833333333333333,logs/repro_alakazam_ogerpon_20260816/rr_hist_ogerpon_vs_hist_marnie_20260817/hist_shadow_5899_vs_hist_marnie_g60.csv,logs/repro_alakazam_ogerpon_20260816/rr_hist_ogerpon_vs_hist_marnie_20260817/hist_shadow_5899_vs_hist_marnie_g60.log
hist_pop_v11_5899,marnie_w4_b8f,60,50,10,0,0.8333333333333334,logs/repro_alakazam_ogerpon_20260816/rr_hist_ogerpon_vs_hist_marnie_20260817/hist_pop_v11_5899_vs_hist_marnie_g60.csv,logs/repro_alakazam_ogerpon_20260816/rr_hist_ogerpon_vs_hist_marnie_20260817/hist_pop_v11_5899_vs_hist_marnie_g60.log
hist_pop_v11_5899,marnie_v14_b8f,60,56,4,0,0.9333333333333333,logs/repro_alakazam_ogerpon_20260816/rr_hist_ogerpon_vs_hist_marnie_20260817/hist_pop_v11_5899_vs_hist_marnie_g60.csv,logs/repro_alakazam_ogerpon_20260816/rr_hist_ogerpon_vs_hist_marnie_20260817/hist_pop_v11_5899_vs_hist_marnie_g60.log
hist_v7_top2,marnie_w4_b8f,60,45,15,0,0.75,logs/repro_alakazam_ogerpon_20260816/rr_hist_ogerpon_vs_hist_marnie_20260817/hist_v7_top2_vs_hist_marnie_g60.csv,logs/repro_alakazam_ogerpon_20260816/rr_hist_ogerpon_vs_hist_marnie_20260817/hist_v7_top2_vs_hist_marnie_g60.log
hist_v7_top2,marnie_v14_b8f,60,56,4,0,0.9333333333333333,logs/repro_alakazam_ogerpon_20260816/rr_hist_ogerpon_vs_hist_marnie_20260817/hist_v7_top2_vs_hist_marnie_g60.csv,logs/repro_alakazam_ogerpon_20260816/rr_hist_ogerpon_vs_hist_marnie_20260817/hist_v7_top2_vs_hist_marnie_g60.log
hist_w4legacy_5899,marnie_w4_b8f,60,50,10,0,0.8333333333333334,logs/repro_alakazam_ogerpon_20260816/rr_hist_ogerpon_vs_hist_marnie_20260817/hist_w4legacy_5899_vs_hist_marnie_g60.csv,logs/repro_alakazam_ogerpon_20260816/rr_hist_ogerpon_vs_hist_marnie_20260817/hist_w4legacy_5899_vs_hist_marnie_g60.log
hist_w4legacy_5899,marnie_v14_b8f,60,57,3,0,0.95,logs/repro_alakazam_ogerpon_20260816/rr_hist_ogerpon_vs_hist_marnie_20260817/hist_w4legacy_5899_vs_hist_marnie_g60.csv,logs/repro_alakazam_ogerpon_20260816/rr_hist_ogerpon_vs_hist_marnie_20260817/hist_w4legacy_5899_vs_hist_marnie_g60.log
hist_v10_top2,marnie_w4_b8f,60,50,10,0,0.8333333333333334,logs/repro_alakazam_ogerpon_20260816/rr_hist_ogerpon_vs_hist_marnie_20260817/hist_v10_top2_vs_hist_marnie_g60.csv,logs/repro_alakazam_ogerpon_20260816/rr_hist_ogerpon_vs_hist_marnie_20260817/hist_v10_top2_vs_hist_marnie_g60.log
hist_v10_top2,marnie_v14_b8f,60,56,4,0,0.9333333333333333,logs/repro_alakazam_ogerpon_20260816/rr_hist_ogerpon_vs_hist_marnie_20260817/hist_v10_top2_vs_hist_marnie_g60.csv,logs/repro_alakazam_ogerpon_20260816/rr_hist_ogerpon_vs_hist_marnie_20260817/hist_v10_top2_vs_hist_marnie_g60.log
