row,column,games,row_wins,column_wins,draws,row_win_rate
current_top6_ab7e,marnie_grimmsnarl_b8f251a4,80,55,25,0,0.6875
current_top6_ab7e,dragapult_cc2e995b,80,66,14,0,0.825
current_top6_ab7e,mega_lopunny_f1445356,80,53,27,0,0.6625
current_top6_ab7e,alakazam_7f9a5389,80,22,58,0,0.275
current_top6_ab7e,teal_mask_ogerpon_8bc67715,80,33,47,0,0.4125
current_top6_ab7e,mega_lucario_43d6d8b0,80,39,41,0,0.4875
current_top6_ab7e,crustle_wall_7ee600c6,80,5,75,0,0.0625
current_top6_ab7e,festival_lead_41ffa789,80,77,3,0,0.9625
current_top6_ab7e,team_rocket_mewtwo_f0bac971,80,76,4,0,0.95
marnie_grimmsnarl_b8f251a4,current_top6_ab7e,80,25,55,0,0.3125
dragapult_cc2e995b,current_top6_ab7e,80,14,66,0,0.175
mega_lopunny_f1445356,current_top6_ab7e,80,27,53,0,0.3375
alakazam_7f9a5389,current_top6_ab7e,80,58,22,0,0.725
teal_mask_ogerpon_8bc67715,current_top6_ab7e,80,47,33,0,0.5875
mega_lucario_43d6d8b0,current_top6_ab7e,80,41,39,0,0.5125
crustle_wall_7ee600c6,current_top6_ab7e,80,75,5,0,0.9375
festival_lead_41ffa789,current_top6_ab7e,80,3,77,0,0.0375
team_rocket_mewtwo_f0bac971,current_top6_ab7e,80,4,76,0,0.05
